Flower_ID;Net_placement_day;Experiment_day;Treatment;Set_number;Start_time;Max_noise_start;Min_noise_end;Temperature_start;End_time;Max_noise_end;Min_noise_end;Temperature_end;Brown_patches;Net_removal_day;Fertilization;Cluster_location;Total_flowers_on_cluster;Fruit_marketing_value;Marketing_value_score;Seed_count
p35;2023.05.24;2023.05.25;SF;14;7:55;56.2;45.5;22.4;Non relevant;55.8;43.4;29.3;Non relevant;;Yes;2;6;sold in bulk;2;98
p36;2023.05.24;2023.05.25;DN;14;7:50;85.6;74.9;22.9;10:50;90.9;69.7;28.5;Yes;;Yes;4;7;sold in bulk;2;45
p37;2023.05.24;2023.05.25;DN;13;7:37;95.5;72.4;23.5;10:37;85.9;67;26.6;Yes;;Yes;5;7;very small fruit;1;69
p38_a;2023.05.24;2023.05.25;NN;12;7:10;58.9;52.7;19.9;10:10;51.6;44.8;25;No;;No;10;11;non developed fruit;0;0
p38_b;2023.05.24;2023.05.25;NN;12;7:10;58.9;52.7;19.9;10:10;;;;Yes;;Yes;2;6;green fruit;1;0
p39;2023.05.24;2023.05.25;NN;17;12:12;58.7;50;25.8;15:12;54.4;47.4;26.4;Yes;;No;2;7;very small fruit;1;18
p40;2023.05.24; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
p41;2023.05.24;2023.05.25;SF;16;10:30;69.2;64.3;26.9;Non relevant;61.1;47.6;25.5;Non relevant;;Yes;9;9;sold in assortments of seven;3;83
p42;2023.05.24;2023.05.25;DN;15;8:18;89;80.7;22.4;11:18;92.2;83.6;28.5;No;;Yes;7;8;sold in assortments of seven;3;54
p43;2023.05.24;2023.05.25;SF;17;12:15;55.2;47.1;28.3;Non relevant;61.8;57.5;27.2;Non relevant;;No;3;6;na;na;na
p44;2023.05.24;2023.05.25;DN;18;12:40;88.1;56.1;27.1;15:40;85;76.7;28.2;Yes;;Yes;6;6;sold in assortments of seven;3;73
p45;2023.05.24;2023.05.25;SF;18;12:30;59.9;46.1;26;Non relevant;62.5;48.9;27.9;Non relevant;;Yes;7;7;na;na;na
p46;2023.05.24;2023.05.25;NN;15;8:10;58.2;50.5;21.7;11:10;48.2;45.4;29;Yes;;Yes;2;5;sold in bulk;2;164
p47;2023.05.24;2023.05.25;NN;16;10:25;51.5;48.8;26.4;13:25;53.7;48.2;26.7;No;;Yes;7;7;sold in assortments of six;4;124
p48;2023.05.24; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
p49;2023.05.24;2023.05.25;SF;12;7:13;55.2;46.7;20.7;Non relevant;58;55.2;25.2;Non relevant;;Yes;2;6;sold in assortments of seven;3;88
p50;2023.05.24;2023.05.25;NN;14;8:02;63.8;54.6;21.6;11:02;55.5;47.7;28.4;No;;Yes;1;6;sold in assortments of seven;3;112
p51;2023.05.24;2023.05.25;DN;12;7:00;91.1;68.2;20.7;10:00;90.4;65.1;24;Yes;;Yes;4;7;sold in bulk;2;86
p52;2023.05.24;2023.05.25;NN;16;10:37;90.5;80.9;27.6;13:37;84.8;71.9;28.5;Yes;;Yes;4;6;sold in assortments of seven;3;78
p53;2023.05.24;2023.05.25;SF;19;14:10;63.1;50.6;27.1;Non relevant;54.8;41.9;27.5;Non relevant;;Yes;5;6;sold in assortments of seven;3;138
p54;2023.05.24;2023.05.25;SF;15;8:20;64.3;57.8;23.1;Non relevant;59.4;54.5;29;Non relevant;;Yes;4;7;sold in assortments of six;4;101
p55;2023.05.24; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
p56;2023.05.24;2023.05.25;DN;19;13:45;88.5;72.9;29;16:45;90.2;78.3;27.9;Yes;;Yes;4;7;green fruit;1;135
p57;2023.05.24;2023.05.25;NN;18;12:49;57.3;50.3;25.6;15:49;59.8;42.6;28.1;Yes;;Yes;7;9;na;na;na
p58;2023.05.24;2023.05.25;NN;19;14:00;58;54.5;29.7;17:00;52.4;46.8;27.3;No;;Yes;4;6;sold in assortments of seven;3;104
p59_a;2023.05.24;2023.05.25;SF;20;14:15;60.9;52.8;25.5;Non relevant;51;40;27.9;Non relevant;;No;6;7;non developed fruit;0;0
p59_b;2023.05.24;2023.05.25;SF;20;14:15;;;;Non relevant;;;;Non relevant;;Yes;7;7;non developed fruit;0;0
p60_a;2023.05.24;2023.05.25;DN;17;12:05;88.5;72.5;24.6;15:05;88.1;51.2;26.3;Yes;;Yes;1;6;sold in assortments of seven;3;60
p60_b;2023.05.24;2023.05.25;DN;17;;;;;;;;;Yes;;Yes;2;6;sold in bulk;2;2
p61;2023.05.24;2023.05.25;NN;20;14:25;59.4;49.8;26.1;17:25;55.8;44.2;27.3;Yes;;Yes;1;7;sold in assortments of six;4;160
